transaction_id,seller_id,month,transaction_date,category,gmv,commission_rate,commission,gst_on_commission,shipping_fee,return_amount,expected_payout,actual_payout,discrepancy_amount,status,root_cause,payment_method,days_outstanding,sla_breach,resolution_status
TXN100023,SLR1028,Dec-2024,2024-12-01,Sports,500.0,0.1,50.0,9.0,49.26,15.97,375.77,375.77,0.0,Processed,NONE,UPI,0,False,N/A
TXN100024,SLR1110,Dec-2024,2024-12-26,Grocery,500.0,0.15,75.0,13.5,21.16,62.21,328.13,328.13,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100025,SLR1001,Oct-2024,2024-10-21,Beauty,1573.95,0.08,125.92,22.67,52.81,121.65,1250.9,1250.9,0.0,Processed,NONE,UPI,0,False,N/A
TXN100026,SLR1035,Nov-2024,2024-11-15,Sports,500.0,0.12,60.0,10.8,136.41,88.78,204.01,204.01,0.0,Processed,NONE,UPI,0,False,N/A
TXN100027,SLR1038,Dec-2024,2024-12-17,Automotive,500.0,0.12,60.0,10.8,87.68,55.66,285.86,285.86,0.0,Processed,NONE,Cheque,0,False,N/A
TXN100028,SLR1084,Nov-2024,2024-11-04,Automotive,500.0,0.15,75.0,13.5,92.99,19.15,299.36,299.36,0.0,Processed,NONE,UPI,0,False,N/A
TXN100029,SLR1061,Oct-2024,2024-10-09,Furniture,500.0,0.12,60.0,10.8,63.72,20.74,344.74,344.74,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100030,SLR1083,Dec-2024,2024-12-25,Fashion,500.0,0.15,75.0,13.5,143.78,39.58,228.14,228.14,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100031,SLR1030,Oct-2024,2024-10-11,Automotive,1284.09,0.1,128.41,23.11,124.71,236.46,771.4,771.4,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100032,SLR1087,Oct-2024,2024-10-30,Beauty,500.0,0.15,75.0,13.5,113.77,33.43,264.3,264.3,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100033,SLR1053,Nov-2024,2024-11-27,Grocery,500.0,0.12,60.0,10.8,70.48,1.88,356.84,356.84,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100034,SLR1024,Nov-2024,2024-11-30,Automotive,940.85,0.1,94.09,16.94,114.45,20.4,694.97,694.97,0.0,Processed,NONE,UPI,0,False,N/A
TXN100035,SLR1085,Nov-2024,2024-11-06,Books,500.0,0.15,75.0,13.5,85.95,40.58,284.97,284.97,0.0,Processed,NONE,Cheque,0,False,N/A
TXN100036,SLR1037,Oct-2024,2024-10-25,Automotive,500.0,0.12,60.0,10.8,81.2,31.67,316.33,316.33,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100037,SLR1116,Oct-2024,2024-10-12,Beauty,500.0,0.15,75.0,13.5,143.1,72.19,196.21,196.21,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100038,SLR1028,Dec-2024,2024-12-09,Sports,500.0,0.1,50.0,9.0,133.29,32.48,275.23,275.23,0.0,Processed,NONE,UPI,0,False,N/A
TXN100039,SLR1074,Nov-2024,2024-11-19,Home & Kitchen,500.0,0.12,60.0,10.8,80.29,9.89,339.02,340.1,1.08,Discrepancy,TAX_RATE_DISCREPANCY,UPI,37,True,Resolved
TXN100040,SLR1009,Nov-2024,2024-11-17,Fashion,1992.31,0.08,159.38,28.69,135.63,252.77,1415.84,1415.84,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100041,SLR1038,Nov-2024,2024-11-11,Automotive,500.0,0.12,60.0,10.8,27.03,76.24,325.93,325.93,0.0,Processed,NONE,Cheque,0,False,N/A
TXN100042,SLR1052,Dec-2024,2024-12-06,Toys,500.0,0.12,60.0,10.8,136.07,111.74,181.39,181.39,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100043,SLR1099,Oct-2024,2024-10-02,Electronics,500.0,0.15,75.0,13.5,83.39,62.47,265.64,265.64,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100044,SLR1000,Nov-2024,2024-11-16,Books,514.32,0.08,41.15,7.41,55.56,26.43,383.77,383.77,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100045,SLR1100,Oct-2024,2024-10-31,Books,500.0,0.15,75.0,13.5,36.82,52.05,322.63,322.63,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100046,SLR1061,Nov-2024,2024-11-29,Furniture,500.0,0.12,60.0,10.8,20.61,40.03,368.56,368.56,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100047,SLR1041,Dec-2024,2024-12-08,Furniture,500.0,0.12,60.0,10.8,44.77,53.29,331.14,331.14,0.0,Processed,NONE,UPI,0,False,N/A
TXN100048,SLR1088,Nov-2024,2024-11-06,Furniture,500.0,0.15,75.0,13.5,60.57,13.4,337.53,337.53,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100049,SLR1008,Oct-2024,2024-10-17,Home & Kitchen,500.0,0.08,40.0,7.2,58.77,21.81,372.22,372.22,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100050,SLR1043,Nov-2024,2024-11-12,Beauty,500.0,0.12,60.0,10.8,135.44,87.35,206.41,206.41,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100051,SLR1096,Oct-2024,2024-10-08,Electronics,500.0,0.15,75.0,13.5,41.43,71.42,298.65,298.65,0.0,Processed,NONE,UPI,0,False,N/A
TXN100052,SLR1028,Dec-2024,2024-12-23,Sports,500.0,0.1,50.0,9.0,148.03,16.31,276.66,-1047.4,-1324.06,Discrepancy,MANUAL_ADJUSTMENT_OVERRIDE,UPI,23,True,Resolved
TXN100053,SLR1101,Oct-2024,2024-10-02,Electronics,500.0,0.15,75.0,13.5,68.78,52.35,290.37,290.37,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100054,SLR1076,Oct-2024,2024-10-14,Toys,500.0,0.12,60.0,10.8,106.06,22.06,301.08,302.16,1.08,Discrepancy,TAX_RATE_DISCREPANCY,NEFT,7,True,In Review
TXN100055,SLR1048,Oct-2024,2024-10-22,Beauty,500.0,0.12,60.0,10.8,91.15,38.78,299.27,299.27,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100056,SLR1080,Oct-2024,2024-10-20,Fashion,500.0,0.15,75.0,13.5,59.15,13.4,338.95,338.95,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100057,SLR1077,Dec-2024,2024-12-04,Electronics,500.0,0.12,60.0,10.8,37.83,72.27,319.1,319.1,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100058,SLR1036,Oct-2024,2024-10-27,Books,500.0,0.12,60.0,10.8,122.02,22.77,284.41,284.41,0.0,Processed,NONE,UPI,0,False,N/A
TXN100059,SLR1066,Oct-2024,2024-10-16,Fashion,500.0,0.12,60.0,10.8,66.53,25.51,337.16,337.16,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100060,SLR1116,Oct-2024,2024-10-22,Beauty,500.0,0.15,75.0,13.5,109.47,38.57,263.46,263.46,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100061,SLR1011,Oct-2024,2024-10-25,Books,604.78,0.1,60.48,10.89,128.58,15.78,389.05,389.05,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100062,SLR1065,Oct-2024,2024-10-15,Books,500.0,0.12,60.0,10.8,114.06,2.43,312.71,312.71,0.0,Processed,NONE,UPI,0,False,N/A
TXN100063,SLR1037,Nov-2024,2024-11-28,Automotive,500.0,0.12,60.0,10.8,80.36,4.27,344.57,344.57,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100064,SLR1037,Nov-2024,2024-11-28,Automotive,500.0,0.12,60.0,10.8,124.21,13.37,291.62,291.62,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100065,SLR1097,Oct-2024,2024-10-12,Furniture,500.0,0.15,75.0,13.5,21.26,9.55,380.69,380.69,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100066,SLR1114,Nov-2024,2024-11-27,Books,500.0,0.15,75.0,13.5,144.16,27.57,239.77,239.77,0.0,Processed,NONE,UPI,0,False,N/A
TXN100067,SLR1043,Oct-2024,2024-10-23,Beauty,500.0,0.12,60.0,10.8,34.8,35.12,359.28,359.28,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100068,SLR1108,Nov-2024,2024-11-05,Fashion,500.0,0.15,75.0,13.5,123.99,70.56,216.95,216.95,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100069,SLR1089,Dec-2024,2024-12-30,Toys,500.0,0.15,75.0,13.5,27.62,85.53,298.35,298.35,0.0,Processed,NONE,Cheque,0,False,N/A
TXN100070,SLR1075,Nov-2024,2024-11-25,Automotive,500.0,0.12,60.0,10.8,124.29,12.72,292.19,292.19,0.0,Processed,NONE,Cheque,0,False,N/A
TXN100071,SLR1045,Dec-2024,2024-12-16,Automotive,548.01,0.12,65.76,11.84,23.75,40.51,406.15,406.15,0.0,Processed,NONE,Cheque,0,False,N/A
TXN100072,SLR1117,Nov-2024,2024-11-23,Electronics,500.0,0.15,75.0,13.5,34.68,8.95,367.87,340.59,-27.28,Discrepancy,CATEGORY_POLICY_CHANGE,NEFT,0,False,Resolved
TXN100073,SLR1067,Dec-2024,2024-12-28,Automotive,552.44,0.12,66.29,11.93,94.96,22.01,357.25,357.25,0.0,Processed,NONE,UPI,0,False,N/A
TXN100074,SLR1043,Dec-2024,2024-12-24,Beauty,500.0,0.12,60.0,10.8,88.0,61.48,279.72,279.72,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100075,SLR1031,Nov-2024,2024-11-29,Automotive,940.63,0.1,94.06,16.93,64.95,86.83,677.86,677.86,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100076,SLR1078,Oct-2024,2024-10-28,Books,500.0,0.12,60.0,10.8,21.51,41.35,366.34,366.34,0.0,Processed,NONE,UPI,0,False,N/A
TXN100077,SLR1063,Oct-2024,2024-10-02,Toys,500.0,0.12,60.0,10.8,29.73,65.64,333.83,333.83,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100078,SLR1064,Oct-2024,2024-10-15,Grocery,500.0,0.12,60.0,10.8,91.56,28.4,309.24,309.24,0.0,Processed,NONE,UPI,0,False,N/A
TXN100079,SLR1056,Dec-2024,2024-12-16,Furniture,500.0,0.12,60.0,10.8,78.25,65.53,285.42,285.42,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100080,SLR1095,Dec-2024,2024-12-26,Automotive,500.0,0.15,75.0,13.5,22.31,42.97,346.22,-1653.1,-1999.32,Discrepancy,MANUAL_ADJUSTMENT_OVERRIDE,RTGS,5,True,Resolved
TXN100081,SLR1079,Dec-2024,2024-12-15,Grocery,500.0,0.12,60.0,10.8,59.6,36.98,332.62,332.62,0.0,Processed,NONE,Cheque,0,False,N/A
TXN100082,SLR1043,Nov-2024,2024-11-18,Beauty,537.98,0.12,64.56,11.62,127.29,77.1,257.41,257.41,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100083,SLR1098,Dec-2024,2024-12-04,Automotive,500.0,0.15,75.0,13.5,97.99,83.85,229.66,229.66,0.0,Processed,NONE,UPI,0,False,N/A
TXN100084,SLR1012,Dec-2024,2024-12-18,Sports,500.0,0.1,50.0,9.0,48.83,37.89,354.28,354.28,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100085,SLR1066,Nov-2024,2024-11-27,Fashion,500.0,0.12,60.0,10.8,111.27,2.85,315.08,315.08,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100086,SLR1091,Dec-2024,2024-12-04,Sports,500.0,0.15,75.0,13.5,113.8,6.1,291.6,291.6,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100087,SLR1119,Nov-2024,2024-11-04,Home & Kitchen,500.0,0.15,75.0,13.5,48.03,53.8,309.67,309.67,0.0,Processed,NONE,Cheque,0,False,N/A
TXN100088,SLR1096,Nov-2024,2024-11-25,Electronics,500.0,0.15,75.0,13.5,26.05,49.87,335.58,335.58,0.0,Processed,NONE,UPI,0,False,N/A
TXN100089,SLR1114,Nov-2024,2024-11-01,Books,500.0,0.15,75.0,13.5,79.46,60.55,271.49,271.49,0.0,Processed,NONE,UPI,0,False,N/A
TXN100090,SLR1067,Dec-2024,2024-12-30,Automotive,500.0,0.12,60.0,10.8,26.31,32.97,369.92,369.92,0.0,Processed,NONE,UPI,0,False,N/A
TXN100091,SLR1065,Oct-2024,2024-10-13,Books,500.0,0.12,60.0,10.8,109.94,4.17,315.09,315.09,0.0,Processed,NONE,UPI,0,False,N/A
TXN100092,SLR1084,Dec-2024,2024-12-20,Automotive,500.0,0.15,75.0,13.5,98.8,10.38,302.32,302.32,0.0,Processed,NONE,UPI,0,False,N/A
TXN100093,SLR1117,Dec-2024,2024-12-15,Electronics,500.0,0.15,75.0,13.5,119.11,5.95,286.44,286.44,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100094,SLR1103,Oct-2024,2024-10-10,Sports,500.0,0.15,75.0,13.5,37.96,51.52,322.02,322.02,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100095,SLR1107,Dec-2024,2024-12-21,Books,500.0,0.15,75.0,13.5,91.21,31.55,288.74,288.74,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100096,SLR1027,Oct-2024,2024-10-05,Automotive,765.37,0.1,76.54,13.78,47.26,24.6,603.19,603.19,0.0,Processed,NONE,Cheque,0,False,N/A
TXN100097,SLR1090,Dec-2024,2024-12-11,Fashion,500.0,0.15,75.0,13.5,146.77,17.07,247.66,247.66,0.0,Processed,NONE,Cheque,0,False,N/A
TXN100098,SLR1090,Oct-2024,2024-10-23,Fashion,500.0,0.15,75.0,13.5,118.9,53.98,238.62,238.62,0.0,Processed,NONE,Cheque,0,False,N/A
TXN100099,SLR1053,Dec-2024,2024-12-26,Grocery,500.0,0.12,60.0,10.8,117.22,44.8,267.18,267.18,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100100,SLR1001,Dec-2024,2024-12-25,Beauty,556.42,0.08,44.51,8.01,33.84,20.34,449.72,456.39,6.67,Discrepancy,FEE_CALCULATION_ERROR,UPI,17,True,Pending
TXN100101,SLR1036,Dec-2024,2024-12-07,Books,500.0,0.12,60.0,10.8,52.57,38.4,338.23,338.23,0.0,Processed,NONE,UPI,0,False,N/A
TXN100102,SLR1096,Dec-2024,2024-12-24,Electronics,500.0,0.15,75.0,13.5,24.2,64.1,323.2,323.2,0.0,Processed,NONE,UPI,0,False,N/A
TXN100103,SLR1071,Oct-2024,2024-10-10,Beauty,500.0,0.12,60.0,10.8,116.51,8.84,303.85,303.85,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100104,SLR1088,Dec-2024,2024-12-11,Furniture,500.0,0.15,75.0,13.5,26.11,49.8,335.59,335.59,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100105,SLR1070,Oct-2024,2024-10-27,Automotive,500.0,0.12,60.0,10.8,21.69,16.02,391.49,391.49,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100106,SLR1028,Dec-2024,2024-12-24,Sports,1295.4,0.1,129.54,23.32,111.6,129.62,901.32,901.32,0.0,Processed,NONE,UPI,0,False,N/A
TXN100107,SLR1077,Oct-2024,2024-10-22,Electronics,500.0,0.12,60.0,10.8,120.9,83.89,224.41,224.41,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100108,SLR1009,Oct-2024,2024-10-14,Fashion,1671.7,0.08,133.74,24.07,145.12,311.51,1057.26,1057.26,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100109,SLR1035,Dec-2024,2024-12-11,Sports,500.0,0.12,60.0,10.8,54.35,16.78,358.07,358.07,0.0,Processed,NONE,UPI,0,False,N/A
TXN100110,SLR1059,Dec-2024,2024-12-02,Electronics,500.0,0.12,60.0,10.8,141.87,5.36,281.97,281.97,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100111,SLR1099,Dec-2024,2024-12-18,Electronics,500.0,0.15,75.0,13.5,100.03,65.53,245.94,245.94,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100112,SLR1045,Oct-2024,2024-10-17,Automotive,500.0,0.12,60.0,10.8,121.92,17.16,290.12,290.12,0.0,Processed,NONE,Cheque,0,False,N/A
TXN100113,SLR1008,Dec-2024,2024-12-08,Home & Kitchen,3142.16,0.08,251.37,45.25,40.72,255.97,2548.85,2548.85,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100114,SLR1113,Oct-2024,2024-10-17,Toys,500.0,0.15,75.0,13.5,106.23,7.2,298.07,298.07,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100115,SLR1060,Dec-2024,2024-12-15,Automotive,500.0,0.12,60.0,10.8,127.08,107.43,194.69,195.77,1.08,Discrepancy,TAX_RATE_DISCREPANCY,Cheque,22,True,Pending
TXN100116,SLR1115,Dec-2024,2024-12-29,Grocery,500.0,0.15,75.0,13.5,99.78,51.24,260.48,260.48,0.0,Processed,NONE,UPI,0,False,N/A
TXN100117,SLR1041,Nov-2024,2024-11-24,Furniture,500.0,0.12,60.0,10.8,139.07,74.42,215.71,215.71,0.0,Processed,NONE,UPI,0,False,N/A
TXN100118,SLR1036,Oct-2024,2024-10-15,Books,500.0,0.12,60.0,10.8,138.47,37.61,253.12,253.12,0.0,Processed,NONE,UPI,0,False,N/A
TXN100119,SLR1062,Oct-2024,2024-10-31,Beauty,500.0,0.12,60.0,10.8,58.54,74.27,296.39,296.39,0.0,Processed,NONE,UPI,0,False,N/A
TXN100120,SLR1012,Oct-2024,2024-10-03,Sports,930.34,0.1,93.03,16.75,146.31,159.72,514.53,514.53,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100121,SLR1026,Dec-2024,2024-12-07,Sports,500.0,0.1,50.0,9.0,101.84,20.15,319.01,319.01,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100122,SLR1068,Dec-2024,2024-12-24,Furniture,525.47,0.12,63.06,11.35,134.22,97.0,219.84,219.84,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100123,SLR1087,Oct-2024,2024-10-26,Beauty,500.0,0.15,75.0,13.5,23.09,36.56,351.85,363.1,11.25,Discrepancy,FEE_CALCULATION_ERROR,NEFT,11,True,In Review
TXN100124,SLR1071,Oct-2024,2024-10-15,Beauty,500.0,0.12,60.0,10.8,94.75,3.59,330.86,330.86,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100125,SLR1080,Nov-2024,2024-11-01,Fashion,500.0,0.15,75.0,13.5,76.29,0.34,334.87,334.87,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100126,SLR1082,Dec-2024,2024-12-28,Electronics,500.0,0.15,75.0,13.5,100.39,99.79,211.32,211.32,0.0,Processed,NONE,Cheque,0,False,N/A
TXN100127,SLR1009,Nov-2024,2024-11-20,Fashion,1122.47,0.08,89.8,16.16,140.65,30.2,845.66,845.66,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100128,SLR1011,Nov-2024,2024-11-01,Books,699.88,0.1,69.99,12.6,119.49,11.95,485.85,485.85,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100129,SLR1060,Oct-2024,2024-10-10,Automotive,500.0,0.12,60.0,10.8,89.35,14.93,324.92,324.92,0.0,Processed,NONE,Cheque,0,False,N/A
TXN100130,SLR1081,Oct-2024,2024-10-12,Furniture,500.0,0.15,75.0,13.5,58.75,32.6,320.15,320.15,0.0,Processed,NONE,Cheque,0,False,N/A
TXN100131,SLR1001,Dec-2024,2024-12-18,Beauty,1545.71,0.08,123.66,22.26,133.72,20.98,1245.09,1631.71,386.62,Discrepancy,MANUAL_ADJUSTMENT_OVERRIDE,UPI,34,True,Pending
TXN100132,SLR1039,Oct-2024,2024-10-29,Automotive,500.0,0.12,60.0,10.8,117.28,98.94,212.98,212.98,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100133,SLR1082,Dec-2024,2024-12-07,Electronics,500.0,0.15,75.0,13.5,38.52,24.29,348.69,348.69,0.0,Processed,NONE,Cheque,0,False,N/A
TXN100134,SLR1014,Oct-2024,2024-10-15,Toys,500.0,0.1,50.0,9.0,107.23,29.78,303.99,308.31,4.32,Discrepancy,CURRENCY_ROUNDING_ERROR,UPI,35,True,Resolved
TXN100135,SLR1070,Oct-2024,2024-10-16,Automotive,549.99,0.12,66.0,11.88,57.78,4.72,409.61,409.61,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100136,SLR1042,Nov-2024,2024-11-03,Books,500.0,0.12,60.0,10.8,36.67,14.75,377.78,377.78,0.0,Processed,NONE,Cheque,0,False,N/A
TXN100137,SLR1115,Oct-2024,2024-10-23,Grocery,500.0,0.15,75.0,13.5,61.31,37.18,313.01,313.01,0.0,Processed,NONE,UPI,0,False,N/A
TXN100138,SLR1074,Oct-2024,2024-10-06,Home & Kitchen,500.0,0.12,60.0,10.8,93.52,30.62,305.06,305.06,0.0,Processed,NONE,UPI,0,False,N/A
TXN100139,SLR1000,Nov-2024,2024-11-09,Books,679.42,0.08,54.35,9.78,52.0,10.16,553.13,553.13,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100140,SLR1107,Nov-2024,2024-11-15,Books,500.0,0.15,75.0,13.5,37.46,73.66,300.38,300.38,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100141,SLR1045,Nov-2024,2024-11-27,Automotive,509.52,0.12,61.14,11.01,83.31,5.99,348.07,348.07,0.0,Processed,NONE,Cheque,0,False,N/A
TXN100142,SLR1035,Oct-2024,2024-10-03,Sports,500.0,0.12,60.0,10.8,135.87,20.48,272.85,272.85,0.0,Processed,NONE,UPI,0,False,N/A
TXN100143,SLR1093,Oct-2024,2024-10-19,Furniture,500.0,0.15,75.0,13.5,135.97,81.56,193.97,193.97,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100144,SLR1051,Dec-2024,2024-12-16,Beauty,500.0,0.12,60.0,10.8,47.66,2.2,379.34,379.34,0.0,Processed,NONE,UPI,0,False,N/A
TXN100145,SLR1083,Oct-2024,2024-10-05,Fashion,500.0,0.15,75.0,13.5,67.56,13.57,330.37,330.37,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100146,SLR1059,Dec-2024,2024-12-08,Electronics,500.0,0.12,60.0,10.8,86.35,53.27,289.58,289.58,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100147,SLR1108,Dec-2024,2024-12-06,Fashion,500.0,0.15,75.0,13.5,108.94,82.35,220.21,220.21,0.0,Processed,NONE,NEFT,0,False,N/A
TXN100148,SLR1072,Dec-2024,2024-12-31,Grocery,500.0,0.12,60.0,10.8,105.72,24.68,298.8,298.8,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100149,SLR1045,Oct-2024,2024-10-07,Automotive,500.0,0.12,60.0,10.8,48.45,26.33,354.42,317.7,-36.72,Discrepancy,CATEGORY_POLICY_CHANGE,Cheque,42,True,Resolved
TXN100150,SLR1116,Nov-2024,2024-11-21,Beauty,500.0,0.15,75.0,13.5,70.45,73.66,267.39,267.39,0.0,Processed,NONE,RTGS,0,False,N/A
TXN100151,SLR1041,Oct-2024,2024-10-19,Furniture,500.0,0.12,60.0,10.8,111.49,41.06,276.65,276.65,0.0,Processed,NONE,UPI,0,False,N/A
TXN100152,SLR1069,Dec-2024,2024-12-29,Books,500.0,0.12,60.0,10.8,42.6,32.36,354.24,354.24,0.0,Processed,NONE,UPI,0,False,N/A
TXN100153,SLR1106,Oct-2024,2024-10-13,Toys,500.0,0.15,75.0,13.5,87.17,41.21,283.12,283.12,0.0,Processed,NONE,UPI,0,False,N/A
